Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
2,Afghanistan,221,"Almonds, with shell",5312,Area harvested,1975,1975,ha,0,F
2,Afghanistan,221,"Almonds, with shell",5312,Area harvested,1976,1976,ha,5900,F
2,Afghanistan,221,"Almonds, with shell",5312,Area harvested,1977,1977,ha,6000,F
2,Afghanistan,221,"Almonds, with shell",5312,Area harvested,1978,1978,ha,6000,F
2,Afghanistan,221,"Almonds, with shell",5312,Area harvested,1979,1979,ha,6000,F
2,Afghanistan,221,"Almonds, with shell",5312,Area harvested,1980,1980,ha,5800,F
2,Afghanistan,221,"Almonds, with shell",5312,Area harvested,1981,1981,ha,5800,F
2,Afghanistan,221,"Almonds, with shell",5312,Area harvested,1982,1982,ha,5800,F
124,Libya,388,Tomatoes,5312,Area harvested,1976,1976,ha,15654,M
124,Libya,388,Tomatoes,5312,Area harvested,1977,1977,ha,12246,M
124,Libya,388,Tomatoes,5312,Area harvested,1978,1978,ha,14175,M
124,Libya,388,Tomatoes,5312,Area harvested,1979,1979,ha,14500,F
124,Libya,388,Tomatoes,5312,Area harvested,1980,1980,ha,16600,F